language,negative,neutral,positive
ar,138899,192774,600402
bg,13930,28657,19563
bs,11974,11145,13064
cs,39674,59200,97413
de,104667,100071,111149
el,230,38,232
en,304938,290821,1734706
es,108733,122493,187486
fa,1602,5091,6832
fr,84187,43245,83199
he,2279,243,6097
hi,4992,6392,5615
hr,19757,19470,38367
hu,8974,17621,30087
it,4043,4193,3829
ja,83982,41979,83819
lv,1378,2618,1794
pl,77422,62074,97192
pt,56827,55165,45842
ru,31770,48106,31054
sk,14431,12842,29350
sl,33694,50553,29296
sq,6889,14757,22638
sr,25089,32283,18996
sv,16266,13342,11738
th,9326,28616,34377
ur,5239,8585,5836
zh,117967,69016,144719
